human_channel, freq, phys_channel, sub_channel, description
'36.1', '8vsb', '36', '1', 'KWSD-TV'
'46.1', '8vsb', '21', '3', 'KDLT-TV'
'46.2', '8vsb', '21', '4', 'FOX'
'46.3', '8vsb', '21', '5', 'Antenna'
'46.4', '8vsb', '21', '6', 'Cozi'
'46.5', '8vsb', '21', '7', 'Court'
'15.1', '8vsb', '20', '3', 'KABY-LD'
'15.2', '8vsb', '20', '4', 'CW'
'15.3', '8vsb', '20', '5', 'MeTV'
'15.4', '8vsb', '20', '6', 'T-Crime'
'15.5', '8vsb', '20', '7', 'Grio'
'11.1', '8vsb', '11', '3', 'KELO'
'11.2', '8vsb', '11', '4', 'UTV'
'11.3', '8vsb', '11', '5', 'ION'
'11.4', '8vsb', '11', '6', 'Escape'
'7.1', '8vsb', '7', '3', 'KTTW-HD-(no-data)'
'7.2', '8vsb', '7', '4', 'ThisTV'
'7.3', '8vsb', '7', '5', 'SBN'
'7.4', '8vsb', '7', '6', 'LAFF-(no-data)'
'7.5', '8vsb', '7', '7', 'Bounce'
'7.6', '8vsb', '7', '8', 'Grit'
'7.7', '8vsb', '7', '9', 'DEFY'
'7.8', '8vsb', '7', '10', 'TrReal'
'7.9', '8vsb', '7', '11', 'NEWSY-(no-data)'
'7.10', '8vsb', '7', '12', 'Quest'
'7.11', '8vsb', '7', '13', 'Twist'
